timestamp,joint_states
1728711281.9931877,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.0588062,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.1255512,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.190878,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.2584522,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.3255599,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.3913355,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.4568067,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.523983,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.5910437,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.658653,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.7243235,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.7914417,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.8568718,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.9237103,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711282.990887,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.057681,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.124537,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.1904075,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.2574267,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.3247333,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.3921287,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.4598742,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.5262804,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.5924792,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.6586983,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.7254226,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
