timestamp,joint_states
1733857824.312931,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.349385,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.3806882,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.412901,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.447542,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.4823818,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.5156558,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.549195,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.5834749,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.6085997,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.6409717,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.6906428,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.7154613,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.7417378,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.7766225,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.8089132,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.842717,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.8782537,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.9093897,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.9423115,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857824.9759655,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.0085704,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.0452533,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.0733705,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.1097004,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.1410906,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.1779027,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.2100403,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.2455502,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.2777586,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.3113146,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.343229,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.3766391,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.4091783,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.442684,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.4765918,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.508056,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.541449,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.5753188,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.6236868,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.653556,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.6809714,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.7160366,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.7493174,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.7859979,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.8184495,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.8508034,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.8833737,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.9145272,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.9474149,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857825.982222,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.0101535,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.0471206,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.0783885,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.109264,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.1440213,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.178478,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.2158093,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
